text,language
"Technology is the application of conceptual knowledge to achieve practical goals, especially in a reproducible way.",English
"The word technology can also mean the products resulting from such efforts, including both tangible tools such as utensils or machines, and intangible ones such as software.",English
"Technology plays a critical role in science, engineering, and everyday life.",English
Technological advancements have led to significant changes in society.,English
The invention of the wheel in the Bronze Age allowed greater travel and the creation of more complex machines.,English
"More recent technological inventions, including the printing press, telephone, and the Internet, have lowered barriers to communication and ushered in the knowledge economy.",English
"As a result, philosophical and political debates about the role and use of technology, the ethics of technology, and ways to mitigate its downsides are ongoing.",English
"It is predated in use by the Ancient Greek word τέχνη (tékhnē), used to mean 'knowledge of how to make things', which encompassed activities like architecture.",English
"The term was previously uncommon in English and mostly referred to the academic discipline, as in the Massachusetts Institute of Technology.",English
History Prehistoric Tools were initially developed by hominids through observation and trial and error.,English
"Around 2 Mya (million years ago), they learned to make the first stone tools by hammering flakes off a pebble, forming a sharp hand axe.",English
"This practice was refined 75 kya (thousand years ago) into pressure flaking, enabling much finer work.",English
"The discovery of fire was described by Charles Darwin as ""possibly the greatest ever made by man"".",English
"Archaeological, dietary, and social evidence point to ""continuous [human] fire-use"" at least 1.5 Mya.",English
"Fire, fueled with wood and charcoal, allowed early humans to cook their food to increase its digestibility, improving its nutrient value and broadening the number of foods that could be eaten.",English
"The cooking hypothesis proposes that the ability to cook promoted an increase in hominid brain size, though some researchers find the evidence inconclusive.",English
Archaeological evidence of hearths was dated to 790 kya; researchers believe this is likely to have intensified human socialization and may have contributed to the emergence of language.,English
Other technological advances made during the Paleolithic era include clothing and shelter.,English
"No consensus exists on the approximate time of adoption of either technology, but archaeologists have found archaeological evidence of clothing 90-120 kya and shelter 450 kya.",English
"As the Paleolithic era progressed, dwellings became more sophisticated and more elaborate; as early as 380 kya, humans were constructing temporary wood huts.",English
"Clothing, adapted from the fur and hides of hunted animals, helped humanity expand into colder regions; humans began to migrate out of Africa around 200 kya, initially moving to Eurasia.",English
"Neolithic The Neolithic Revolution (or First Agricultural Revolution) brought about an acceleration of technological innovation, and a consequent increase in social complexity.",English
The invention of the polished stone axe was a major advance that allowed large-scale forest clearance and farming.,English
This use of polished stone axes increased greatly in the Neolithic but was originally used in the preceding Mesolithic in some areas such as Ireland.,English
"Agriculture fed larger populations, and the transition to sedentism allowed for the simultaneous raising of more children, as infants no longer needed to be carried around by nomads.",English
"Additionally, children could contribute labor to the raising of crops more readily than they could participate in hunter-gatherer activities.",English
With this increase in population and availability of labor came an increase in labor specialization.,English
"The invention of writing led to the spread of cultural knowledge and became the basis for history, libraries, schools, and scientific research.",English
"The advantages of copper tools over stone, bone and wooden tools were quickly apparent to early humans, and native copper was probably used from near the beginning of Neolithic times (about 10 kya).",English
"Native copper does not naturally occur in large amounts, but copper ores are quite common and some of them produce metal easily when burned in wood or charcoal fires.",English
"Eventually, the working of metals led to the discovery of alloys such as bronze and brass (about 4,000 BCE).",English
"The first use of iron alloys such as steel dates to around 1,800 BCE.",English
"Ancient After harnessing fire, humans discovered other forms of energy.",English
"The earliest known use of wind power is the sailing ship; the earliest record of a ship under sail is that of a Nile boat dating to around 7,000 BCE.",English
The ancient Sumerians in Mesopotamia used a complex system of canals and levees to divert water from the Tigris and Euphrates rivers for irrigation.,English
"Archaeologists estimate that the wheel was invented independently and concurrently in Mesopotamia (in present-day Iraq), the Northern Caucasus (Maykop culture), and Central Europe.",English
"Time estimates range from 5,500 to 3,000 BCE with most experts putting it closer to 4,000 BCE.",English
"The oldest artifacts with drawings depicting wheeled carts date from about 3,500 BCE.",English
The invention of the wheel revolutionized trade and war.,English
It did not take long to discover that wheeled wagons could be used to carry heavy loads.,English
The ancient Sumerians used a potter's wheel and may have invented it.,English
"A stone pottery wheel found in the city-state of Ur dates to around 3,429 BCE, and even older fragments of wheel-thrown pottery have been found in the same area.",English
"The first two-wheeled carts were derived from travois and were first used in Mesopotamia and Iran in around 3,000 BCE.",English
"The first long-distance road, which came into use around 3,500 BCE, spanned 2,400 km from the Persian Gulf to the Mediterranean Sea, but was not paved and was only partially maintained.",English
"Unlike the earlier road, the Minoan road was completely paved.",English
Ancient Minoan private homes had running water.,English
A bathtub virtually identical to modern ones was unearthed at the Palace of Knossos.,English
"Several Minoan private homes also had toilets, which could be flushed by pouring water down the drain.",English
"The ancient Romans had many public flush toilets, which emptied into an extensive sewage system.",English
The primary sewer in Rome was the Cloaca Maxima; construction began on it in the sixth century BCE and it is still in use today.,English
"The ancient Romans also had a complex system of aqueducts, which were used to transport water across long distances.",English
The first Roman aqueduct was built in 312 BCE.,English
The eleventh and final ancient Roman aqueduct was built in 226 CE.,English
"Put together, the Roman aqueducts extended over 450 km, but less than 70 km of this was above ground and supported by arches.",English
"Pre-modern Innovations continued through the Middle Ages with the introduction of silk production (in Asia and later Europe), the horse collar, and horseshoes.",English
"Simple machines (such as the lever, the screw, and the pulley) were combined into more complicated tools, such as the wheelbarrow, windmills, and clocks.",English
"A system of universities developed and spread scientific ideas and practices, including Oxford and Cambridge.",English
"The Renaissance era produced many innovations, including the introduction of the movable type printing press to Europe, which facilitated the communication of knowledge.",English
"Technology became increasingly influenced by science, beginning a cycle of mutual advancement.",English
"This was followed a century later by the Second Industrial Revolution which led to rapid scientific discovery, standardization, and mass production.",English
"New technologies were developed, including sewage systems, electricity, light bulbs, electric motors, railroads, automobiles, and airplanes.",English
"These technological advances led to significant developments in medicine, chemistry, physics, and engineering.",English
"They were accompanied by consequential social change, with the introduction of skyscrapers accompanied by rapid urbanization.",English
"Communication improved with the invention of the telegraph, the telephone, the radio, and television.",English
The 20th century brought a host of innovations.,English
"In physics, the discovery of nuclear fission in the Atomic Age led to both nuclear weapons and nuclear power.",English
Analog computers were invented and asserted dominance in processing complex data.,English
"Information technology, particularly optical fiber and optical amplifiers, allowed for simple and fast long-distance communication, which ushered in the Information Age and the birth of the Internet.",English
"The Space Age began with the launch of Sputnik 1 in 1957, and later the launch of crewed missions to the moon in the 1960s.",English
"Organized efforts to search for extraterrestrial intelligence have used radio telescopes to detect signs of technology use, or technosignatures, given off by alien civilizations.",English
"Modern technology increasingly relies on training and education – their designers, builders, maintainers, and users often require sophisticated general and specific training.",English
Impact Technological change is the largest cause of long-term economic growth.,English
"Throughout human history, energy production was the main constraint on economic development, and new technologies allowed humans to significantly increase the amount of available energy.",English
"First came fire, which made edible a wider variety of foods, and made it less physically demanding to digest them.",English
"Fire also enabled smelting, and the use of tin, copper, and iron tools, used for hunting or tradesmanship.",English
"Recent years have brought about a rise in social media's cultural prominence, with potential repercussions on democracy, and economic and social life.",English
"Early on, the internet was seen as a ""liberation technology"" that would democratize knowledge, improve access to education, and promote democracy.",English
"Modern research has turned to investigate the internet's downsides, including disinformation, polarization, hate speech, and propaganda.",English
"Since the 1970s, technology's impact on the environment has been criticized, leading to a surge in investment in solar, wind, and other forms of clean energy.",English
"Social Jobs Since the invention of the wheel, technologies have helped increase humans' economic output.",English
Studies have found that computers did not create significant net technological unemployment.,English
A 2017 survey found no clear consensus among economists on whether AI would increase long-term unemployment.,English
"According to the World Economic Forum's ""The Future of Jobs Report 2020"", AI is predicted to replace 85 million jobs worldwide, and create 97 million new jobs by 2025.",English
"From 1990 to 2007, a study in the U.S.",English
"by MIT economist Daron Acemoglu showed that an addition of one robot for every 1,000 workers decreased the employment-to-population ratio by 0.2%, or about 3.3 workers, and lowered wages by 0.42%.",English
Concerns about technology replacing human labor however are long-lasting.,English
